"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"RPA2",0.709,0.333828313256783,0.418,0.963299164500825,0.854,0.521,"5","RPA2"
"YEATS4",0.708,0.315484878972597,0.416,1.00626746787781,0.825,0.471,"5","YEATS4"
"DHX15",0.708,0.323971247240352,0.416,0.938723046053912,0.86,0.516,"5","DHX15"
"LSM3",0.708,0.306877147973875,0.416,0.626341526590267,0.988,0.803,"5","LSM3"
"ARL6IP6",0.708,0.328930107077452,0.416,1.10358605083223,0.776,0.414,"5","ARL6IP6"
"PARP1",0.708,0.32105054274798,0.416,0.626924085529193,0.982,0.827,"5","PARP1"
"HNRNPM",0.707,0.338090792070687,0.414,0.605332583738575,0.998,0.887,"5","HNRNPM"
"GAMT",0.707,0.355176886714102,0.414,1.21997690474983,0.749,0.385,"5","GAMT"
"MAGOHB",0.707,0.346807844589427,0.414,1.0221412082754,0.823,0.489,"5","MAGOHB"
"MSH2",0.707,0.315051034392912,0.414,1.28680839300666,0.71,0.329,"5","MSH2"
"GTF3A",0.706,0.314506878199175,0.412,0.588422472435172,0.996,0.858,"5","GTF3A"
"XRCC2",0.706,0.324026207996514,0.412,2.3103486768632,0.526,0.132,"5","XRCC2"
"CPA3",0.706,0.566121214474482,0.412,1.8144302600233,0.608,0.213,"5","CPA3"
"NUDC",0.706,0.326305030406658,0.412,0.667989351035859,0.977,0.775,"5","NUDC"
"CBX5",0.705,0.34455667234653,0.41,0.947108116379189,0.864,0.554,"5","CBX5"
"MPP1",0.705,0.349733982690427,0.41,0.941556274186246,0.856,0.524,"5","MPP1"
"NUCKS1",0.705,0.312811923249574,0.41,0.59978384696281,0.984,0.823,"5","NUCKS1"
"TK1",0.703,0.430910185893112,0.406,1.72252802310856,0.575,0.171,"5","TK1"
"RRP7A",0.702,0.335765793485864,0.404,0.969803440597674,0.85,0.501,"5","RRP7A"
"XRCC6",0.702,0.297882174583362,0.404,0.598944098994057,0.984,0.825,"5","XRCC6"
"ATAD5",0.702,0.315213327600044,0.404,1.63781883419002,0.598,0.215,"5","ATAD5"
"ATP5F1C",0.702,0.276696527011763,0.404,0.497845560624256,1,0.907,"5","ATP5F1C"
"SSRP1",0.702,0.341414617581215,0.404,0.852244552969632,0.906,0.616,"5","SSRP1"
"HNRNPAB",0.702,0.358875291675518,0.404,0.787687386712335,0.924,0.661,"5","HNRNPAB"
"PPA2",0.702,0.315641690316341,0.404,0.752990163005034,0.926,0.682,"5","PPA2"
"ORC6",0.701,0.316102504251921,0.402,1.69655727577819,0.589,0.199,"5","ORC6"
"ACTL6A",0.701,0.313676640587586,0.402,0.911707991672801,0.844,0.534,"5","ACTL6A"
"ITGB3BP",0.701,0.357352164912192,0.402,1.29792815425186,0.713,0.368,"5","ITGB3BP"
"HMGB11",0.926,1.03793768878905,0.852,1.56951376548951,1,0.987,"6","HMGB1"
"HMGN21",0.921,1.05590689488829,0.842,1.65353211931322,1,0.952,"6","HMGN2"
"STMN11",0.893,0.832721188300876,0.786,1.34174822872823,1,0.909,"6","STMN1"
"HSP90AA11",0.862,0.721700825190999,0.724,1.09410297838336,1,0.982,"6","HSP90AA1"
"PTMA1",0.86,0.426079954851864,0.72,0.624757465997866,1,1,"6","PTMA"
"HNRNPA12",0.855,0.529784322771518,0.71,0.794547408847763,1,0.992,"6","HNRNPA1"
"HNRNPA2B11",0.855,0.600269738899801,0.71,0.94582068728002,0.998,0.964,"6","HNRNPA2B1"
"HNRNPM1",0.838,0.61765470425714,0.676,1.08024626840504,0.99,0.889,"6","HNRNPM"
"MIF2",0.826,0.718348936918948,0.652,1.17849116689739,0.995,0.891,"6","MIF"
"H2AFZ1",0.826,0.729597265443787,0.652,1.15601113394008,1,0.909,"6","H2AFZ"
"CENPF",0.817,1.04788021668967,0.634,2.99473629379643,0.763,0.236,"6","CENPF"
"LSM51",0.815,0.586761141188356,0.63,1.09950310769795,0.976,0.838,"6","LSM5"
"IGLL1",0.814,0.961572006154504,0.628,2.58565061094781,0.78,0.24,"6","IGLL1"
"ANP32B1",0.814,0.514257773097277,0.628,0.858458795271668,0.998,0.935,"6","ANP32B"
"RAN1",0.809,0.553753908493512,0.618,0.885764304255023,1,0.938,"6","RAN"
"NPM12",0.809,0.416107206499827,0.618,0.624436424389788,1,0.993,"6","NPM1"
"HMGN11",0.806,0.458497507390189,0.612,0.745299183520099,0.998,0.97,"6","HMGN1"
"PSMA41",0.798,0.472201175816288,0.596,0.797564584964903,0.995,0.935,"6","PSMA4"
"HSP90AB11",0.796,0.431599731075503,0.592,0.657947107080328,1,0.99,"6","HSP90AB1"
"HSPD11",0.795,0.54173291363642,0.59,0.892080017245624,0.995,0.913,"6","HSPD1"
"ITM2A1",0.791,0.599750820383949,0.582,1.2051833441907,0.958,0.7,"6","ITM2A"
"HNRNPR1",0.789,0.530615988540177,0.578,1.02654559255554,0.971,0.8,"6","HNRNPR"
"HNRNPA31",0.787,0.515105918009211,0.574,0.931448126372725,0.995,0.864,"6","HNRNPA3"
"YWHAQ1",0.783,0.474527142254578,0.566,0.903997178676104,0.983,0.845,"6","YWHAQ"
"NUCKS11",0.781,0.604951426309176,0.562,1.12234958231707,0.973,0.826,"6","NUCKS1"
"LDHA1",0.779,0.481046058244281,0.558,0.796260100803321,0.998,0.921,"6","LDHA"
"HNRNPK",0.779,0.398685373095207,0.558,0.66205014381604,0.988,0.955,"6","HNRNPK"
"FABP51",0.779,0.586621121375759,0.558,1.04780569502309,0.983,0.741,"6","FABP5"
"MGST1",0.778,0.626070261948762,0.556,1.3418930903178,0.917,0.631,"6","MGST1"
"HMGB21",0.775,1.0314321650424,0.55,1.72934912100976,0.954,0.816,"6","HMGB2"
"SRP91",0.775,0.43973429606688,0.55,0.784737379729493,0.99,0.911,"6","SRP9"
"NUCB2",0.772,0.515810280058396,0.544,1.02768128096534,0.966,0.785,"6","NUCB2"
"ARL6IP1",0.771,0.769041995809594,0.542,1.49644336597639,0.929,0.789,"6","ARL6IP1"
"HMGN31",0.767,0.456762818332955,0.534,0.844086380447495,0.983,0.869,"6","HMGN3"
"LDHB1",0.766,0.375537245832534,0.532,0.585687792565583,1,0.975,"6","LDHB"
"SKP1",0.762,0.37021297734406,0.524,0.602568376368887,0.993,0.978,"6","SKP1"
"PTGES31",0.761,0.410655377660723,0.522,0.708734692580093,0.993,0.929,"6","PTGES3"
"HNRNPC1",0.759,0.396880706549182,0.518,0.665659568388463,0.998,0.947,"6","HNRNPC"
"ERH1",0.757,0.396736073697736,0.514,0.688496738855376,0.983,0.922,"6","ERH"
"HMGB3",0.757,0.610584866604309,0.514,1.92222294837201,0.741,0.344,"6","HMGB3"
"HNRNPU1",0.756,0.431687095088639,0.512,0.785689838335261,0.998,0.878,"6","HNRNPU"
"COX7B1",0.749,0.380618148618388,0.498,0.64623487339861,0.998,0.935,"6","COX7B"
"EIF1AX",0.746,0.461380068933438,0.492,0.860046463958833,0.98,0.844,"6","EIF1AX"
"PTTG1",0.745,0.816197874378231,0.49,1.90449436335902,0.785,0.498,"6","PTTG1"
"PRSS571",0.743,0.437591292112277,0.486,0.777232733195142,0.98,0.85,"6","PRSS57"
"TUBA1B1",0.74,0.480594435248712,0.48,0.734843554477265,0.998,0.941,"6","TUBA1B"
"ABRACL",0.739,0.406450777097438,0.478,0.778040686357016,0.966,0.836,"6","ABRACL"
"ATP5MC31",0.739,0.388118927405186,0.478,0.662415835375865,0.983,0.917,"6","ATP5MC3"
"LGALS11",0.737,0.505460150722129,0.474,0.780116082654351,0.995,0.866,"6","LGALS1"
"MKI67",0.735,0.57899431500972,0.47,2.58857603305279,0.579,0.139,"6","MKI67"
"PYURF",0.735,0.386121495694056,0.47,0.72460004987961,0.978,0.886,"6","PYURF"
"SYNCRIP1",0.734,0.447917914075506,0.468,1.0194550099635,0.907,0.667,"6","SYNCRIP"
"HPGDS2",0.733,0.479956347457075,0.466,1.16164739616079,0.785,0.355,"6","HPGDS"
"PPIA1",0.732,0.290429023291237,0.464,0.447639730259036,1,0.984,"6","PPIA"
"IFITM11",0.731,0.521234550665292,0.462,1.88681404242827,0.633,0.197,"6","IFITM1"
"BIRC5",0.728,0.692842330997798,0.456,2.38497080562873,0.599,0.186,"6","BIRC5"
"MT-ND5",0.727,0.333890551864547,0.454,0.524950715538768,0.998,0.982,"6","MT-ND5"
"RBM3",0.727,0.378220488287519,0.454,0.722459129583571,0.958,0.844,"6","RBM3"
"ANP32A",0.726,0.382175327167893,0.452,0.777431882869822,0.963,0.795,"6","ANP32A"
"ILF2",0.726,0.38448713586924,0.452,0.753126116562194,0.963,0.825,"6","ILF2"
"MT-CO22",0.725,0.253673124663403,0.45,0.373286837120354,1,0.998,"6","MT-CO2"
"TOP2A",0.721,0.765817999415889,0.442,2.54197947634307,0.587,0.197,"6","TOP2A"
